iter	Passed	Remaining
0	119	118950
1	131	65665
2	143	47697
3	156	38923
4	168	33442
5	180	29861
6	192	27353
7	205	25477
8	217	23952
9	229	22718
10	241	21704
11	253	20872
12	265	20162
13	278	19593
14	290	19084
15	302	18630
16	314	18202
17	326	17817
18	338	17495
19	351	17228
20	363	16953
21	376	16723
22	388	16484
23	400	16281
24	412	16087
25	424	15902
26	436	15728
27	448	15557
28	460	15412
29	472	15281
30	484	15140
31	495	14998
32	507	14877
33	519	14766
34	531	14656
35	544	14577
36	557	14507
37	569	14408
38	580	14315
39	592	14224
40	604	14139
41	616	14063
42	628	13982
43	640	13917
44	652	13855
45	664	13790
46	677	13730
47	690	13699
48	696	13513
49	708	13455
50	719	13396
51	731	13332
52	742	13264
53	753	13204
54	765	13148
55	776	13096
56	788	13052
57	801	13012
58	812	12963
59	824	12921
60	837	12887
61	848	12841
62	860	12805
63	872	12755
64	884	12719
65	896	12689
66	908	12649
67	920	12610
68	931	12570
69	944	12548
70	957	12532
71	971	12526
72	984	12500
73	996	12473
74	1010	12465
75	1024	12453
76	1036	12424
77	1049	12405
78	1062	12386
79	1075	12370
80	1090	12377
81	1106	12390
82	1120	12379
83	1136	12395
84	1157	12458
85	1176	12507
86	1191	12503
87	1210	12547
88	1228	12571
89	1242	12565
90	1259	12578
91	1272	12558
92	1285	12540
93	1298	12514
94	1311	12489
95	1325	12479
96	1337	12454
97	1349	12423
98	1361	12392
99	1373	12357
100	1385	12328
101	1396	12296
102	1408	12263
103	1420	12237
104	1432	12213
105	1444	12187
106	1458	12174
107	1470	12149
108	1483	12126
109	1497	12115
110	1511	12101
111	1525	12093
112	1538	12075
113	1551	12058
114	1562	12027
115	1574	11997
116	1586	11971
117	1598	11948
118	1610	11919
119	1621	11888
120	1633	11865
121	1645	11839
122	1656	11808
123	1668	11785
124	1679	11758
125	1692	11737
126	1703	11712
127	1715	11687
128	1727	11662
129	1740	11645
130	1752	11628
131	1764	11605
132	1776	11578
133	1787	11555
134	1800	11533
135	1812	11514
136	1824	11493
137	1836	11470
138	1848	11452
139	1861	11432
140	1873	11414
141	1884	11389
142	1897	11370
143	1909	11351
144	1921	11330
145	1933	11309
146	1945	11288
147	1960	11285
148	1975	11283
149	1987	11263
150	2000	11246
151	2012	11226
152	2024	11205
153	2036	11187
154	2048	11168
155	2060	11147
156	2072	11127
157	2084	11108
158	2101	11113
159	2112	11091
160	2124	11071
161	2136	11051
162	2148	11031
163	2159	11008
164	2172	10993
165	2185	10981
166	2199	10968
167	2211	10952
168	2223	10934
169	2236	10918
170	2248	10899
171	2260	10880
172	2271	10860
173	2284	10843
174	2297	10831
175	2309	10812
176	2321	10793
177	2332	10773
178	2345	10757
179	2357	10738
180	2369	10721
181	2381	10704
182	2393	10687
183	2406	10672
184	2418	10656
185	2430	10637
186	2442	10619
187	2455	10604
188	2466	10585
189	2478	10566
190	2490	10548
191	2502	10533
192	2515	10519
193	2528	10505
194	2540	10489
195	2552	10469
196	2564	10453
197	2575	10432
198	2587	10414
199	2599	10398
200	2611	10381
201	2622	10361
202	2634	10345
203	2646	10328
204	2658	10311
205	2670	10293
206	2682	10275
207	2694	10258
208	2706	10245
209	2718	10226
210	2730	10209
211	2742	10192
212	2754	10176
213	2765	10157
214	2777	10140
215	2788	10121
216	2799	10101
217	2811	10086
218	2824	10071
219	2836	10055
220	2848	10039
221	2859	10022
222	2871	10004
223	2883	9989
224	2895	9973
225	2907	9957
226	2918	9939
227	2930	9924
228	2943	9910
229	2955	9893
230	2966	9876
231	2979	9862
232	2991	9848
233	3003	9833
234	3015	9817
235	3027	9799
236	3038	9783
237	3050	9768
238	3062	9751
239	3074	9735
240	3086	9719
241	3098	9705
242	3111	9691
243	3123	9678
244	3136	9665
245	3148	9651
246	3161	9637
247	3175	9628
248	3187	9614
249	3199	9599
250	3212	9585
251	3224	9569
252	3236	9555
253	3248	9541
254	3260	9526
255	3273	9512
256	3284	9496
257	3297	9482
258	3309	9467
259	3321	9452
260	3333	9438
261	3345	9424
262	3358	9411
263	3370	9397
264	3383	9384
265	3396	9372
266	3410	9361
267	3422	9346
268	3434	9332
269	3447	9321
270	3460	9309
271	3473	9295
272	3485	9281
273	3497	9267
274	3511	9256
275	3523	9243
276	3536	9229
277	3548	9216
278	3560	9201
279	3572	9186
280	3584	9171
281	3596	9156
282	3607	9140
283	3620	9127
284	3632	9114
285	3644	9099
286	3656	9083
287	3668	9068
288	3680	9053
289	3691	9037
290	3703	9023
291	3714	9007
292	3726	8992
293	3739	8979
294	3750	8963
295	3762	8948
296	3774	8933
297	3786	8919
298	3798	8904
299	3810	8891
300	3822	8877
301	3834	8862
302	3846	8848
303	3858	8834
304	3870	8820
305	3883	8807
306	3895	8792
307	3906	8776
308	3918	8762
309	3929	8746
310	3941	8732
311	3953	8718
312	3965	8704
313	3977	8690
314	3989	8675
315	4000	8659
316	4012	8644
317	4023	8629
318	4035	8614
319	4046	8599
320	4058	8584
321	4070	8570
322	4081	8555
323	4093	8541
324	4105	8527
325	4116	8511
326	4128	8496
327	4139	8481
328	4151	8467
329	4162	8452
330	4174	8437
331	4186	8423
332	4198	8409
333	4209	8394
334	4221	8380
335	4233	8366
336	4245	8352
337	4257	8338
338	4268	8323
339	4281	8311
340	4293	8297
341	4305	8284
342	4317	8269
343	4329	8255
344	4340	8241
345	4352	8226
346	4364	8213
347	4376	8199
348	4388	8185
349	4399	8171
350	4411	8157
351	4423	8142
352	4429	8118
353	4441	8104
354	4452	8089
355	4463	8075
356	4475	8061
357	4487	8047
358	4499	8033
359	4511	8019
360	4523	8007
361	4535	7993
362	4547	7979
363	4558	7965
364	4570	7951
365	4581	7937
366	4593	7922
367	4605	7908
368	4617	7896
369	4629	7882
370	4641	7868
371	4653	7855
372	4664	7841
373	4676	7828
374	4689	7815
375	4701	7803
376	4713	7788
377	4725	7775
378	4737	7762
379	4749	7749
380	4761	7735
381	4773	7722
382	4784	7707
383	4795	7692
384	4808	7680
385	4819	7667
386	4831	7653
387	4843	7639
388	4855	7626
389	4866	7612
390	4878	7598
391	4890	7584
392	4901	7569
393	4913	7556
394	4924	7543
395	4936	7529
396	4948	7516
397	4960	7502
398	4972	7489
399	4983	7475
400	4995	7461
401	5006	7447
402	5018	7435
403	5030	7421
404	5042	7407
405	5053	7393
406	5065	7380
407	5077	7367
408	5088	7353
409	5100	7339
410	5111	7325
411	5123	7312
412	5135	7298
413	5146	7284
414	5158	7271
415	5172	7261
416	5184	7248
417	5195	7234
418	5207	7221
419	5220	7208
420	5232	7195
421	5243	7181
422	5255	7168
423	5267	7155
424	5279	7143
425	5290	7129
426	5303	7116
427	5315	7103
428	5327	7090
429	5338	7077
430	5350	7064
431	5362	7051
432	5374	7037
433	5386	7024
434	5398	7011
435	5409	6997
436	5421	6984
437	5434	6972
438	5445	6959
439	5457	6945
440	5469	6933
441	5481	6920
442	5494	6907
443	5506	6895
444	5518	6882
445	5530	6869
446	5542	6856
447	5553	6843
448	5565	6829
449	5577	6816
450	5589	6803
451	5600	6790
452	5612	6776
453	5623	6763
454	5635	6750
455	5647	6737
456	5659	6724
457	5670	6710
458	5683	6698
459	5695	6686
460	5708	6674
461	5719	6660
462	5731	6647
463	5743	6634
464	5754	6620
465	5766	6608
466	5778	6595
467	5790	6582
468	5802	6569
469	5815	6557
470	5826	6544
471	5838	6530
472	5850	6518
473	5862	6505
474	5873	6492
475	5885	6478
476	5897	6465
477	5908	6452
478	5920	6439
479	5932	6426
480	5943	6412
481	5955	6400
482	5967	6387
483	5978	6374
484	5991	6361
485	6002	6348
486	6014	6335
487	6025	6321
488	6036	6308
489	6048	6295
490	6061	6283
491	6072	6270
492	6084	6257
493	6096	6244
494	6107	6231
495	6119	6217
496	6130	6204
497	6142	6191
498	6153	6178
499	6166	6166
500	6177	6152
501	6189	6140
502	6201	6127
503	6214	6115
504	6226	6102
505	6237	6089
506	6248	6075
507	6259	6062
508	6271	6050
509	6283	6037
510	6295	6024
511	6307	6012
512	6319	5999
513	6331	5986
514	6342	5973
515	6355	5960
516	6366	5947
517	6378	5934
518	6390	5922
519	6403	5910
520	6415	5898
521	6427	5886
522	6439	5872
523	6450	5859
524	6463	5847
525	6475	5835
526	6487	5822
527	6499	5810
528	6511	5797
529	6523	5785
530	6535	5772
531	6546	5759
532	6558	5746
533	6569	5733
534	6581	5720
535	6593	5707
536	6604	5694
537	6616	5681
538	6628	5669
539	6639	5656
540	6651	5643
541	6663	5630
542	6674	5617
543	6687	5605
544	6698	5592
545	6711	5580
546	6723	5568
547	6735	5555
548	6746	5542
549	6758	5529
550	6770	5516
551	6781	5503
552	6794	5491
553	6806	5479
554	6818	5466
555	6830	5454
556	6841	5441
557	6852	5428
558	6864	5415
559	6876	5402
560	6887	5389
561	6899	5377
562	6911	5364
563	6923	5352
564	6935	5339
565	6946	5326
566	6958	5314
567	6970	5301
568	6982	5288
569	6994	5276
570	7006	5264
571	7018	5251
572	7030	5238
573	7041	5226
574	7053	5213
575	7064	5200
576	7076	5188
577	7088	5175
578	7100	5162
579	7112	5150
580	7124	5137
581	7135	5125
582	7147	5112
583	7159	5100
584	7171	5087
585	7183	5074
586	7195	5062
587	7207	5049
588	7219	5037
589	7230	5024
590	7242	5012
591	7254	4999
592	7266	4987
593	7277	4974
594	7289	4961
595	7300	4948
596	7312	4936
597	7324	4924
598	7336	4911
599	7348	4898
600	7360	4886
601	7372	4874
602	7384	4861
603	7395	4848
604	7407	4836
605	7420	4824
606	7431	4811
607	7443	4798
608	7455	4786
609	7466	4773
610	7478	4761
611	7490	4749
612	7503	4736
613	7515	4724
614	7527	4712
615	7539	4699
616	7551	4687
617	7563	4675
618	7574	4662
619	7586	4650
620	7598	4637
621	7610	4624
622	7622	4612
623	7634	4600
624	7645	4587
625	7657	4575
626	7669	4562
627	7681	4549
628	7692	4537
629	7704	4525
630	7717	4512
631	7729	4500
632	7741	4488
633	7753	4475
634	7765	4463
635	7776	4450
636	7788	4438
637	7800	4426
638	7812	4413
639	7824	4401
640	7835	4388
641	7847	4376
642	7858	4363
643	7870	4350
644	7881	4338
645	7894	4325
646	7906	4313
647	7917	4301
648	7929	4288
649	7941	4276
650	7953	4264
651	7965	4251
652	7977	4239
653	7988	4226
654	8000	4214
655	8012	4201
656	8024	4189
657	8036	4176
658	8047	4164
659	8059	4152
660	8071	4139
661	8083	4127
662	8095	4115
663	8106	4102
664	8118	4089
665	8130	4077
666	8142	4065
667	8155	4053
668	8167	4040
669	8178	4028
670	8190	4015
671	8202	4003
672	8213	3990
673	8224	3978
674	8236	3965
675	8248	3953
676	8259	3940
677	8271	3928
678	8282	3915
679	8294	3903
680	8306	3890
681	8318	3878
682	8330	3866
683	8342	3853
684	8354	3841
685	8366	3829
686	8378	3817
687	8389	3804
688	8401	3792
689	8413	3780
690	8425	3767
691	8437	3755
692	8449	3743
693	8461	3730
694	8473	3718
695	8485	3706
696	8497	3694
697	8509	3681
698	8520	3669
699	8532	3656
700	8545	3644
701	8556	3632
702	8567	3619
703	8579	3607
704	8591	3594
705	8602	3582
706	8614	3570
707	8626	3557
708	8637	3545
709	8649	3533
710	8662	3520
711	8673	3508
712	8686	3496
713	8698	3484
714	8710	3471
715	8722	3459
716	8734	3447
717	8746	3435
718	8758	3423
719	8770	3410
720	8782	3398
721	8795	3386
722	8806	3374
723	8817	3361
724	8830	3349
725	8842	3337
726	8855	3325
727	8866	3312
728	8878	3300
729	8890	3288
730	8903	3276
731	8915	3264
732	8926	3251
733	8938	3239
734	8949	3226
735	8961	3214
736	8973	3202
737	8985	3190
738	8998	3177
739	9009	3165
740	9022	3153
741	9033	3141
742	9045	3128
743	9056	3116
744	9068	3103
745	9079	3091
746	9091	3079
747	9104	3067
748	9116	3054
749	9128	3042
750	9139	3030
751	9151	3018
752	9164	3005
753	9175	2993
754	9187	2981
755	9199	2969
756	9211	2956
757	9222	2944
758	9234	2932
759	9245	2919
760	9257	2907
761	9269	2895
762	9280	2882
763	9292	2870
764	9304	2858
765	9317	2846
766	9328	2833
767	9341	2821
768	9353	2809
769	9365	2797
770	9376	2785
771	9388	2772
772	9400	2760
773	9412	2748
774	9423	2735
775	9435	2723
776	9447	2711
777	9460	2699
778	9472	2687
779	9484	2675
780	9496	2662
781	9508	2650
782	9519	2638
783	9531	2626
784	9544	2613
785	9555	2601
786	9567	2589
787	9579	2577
788	9591	2565
789	9603	2552
790	9615	2540
791	9627	2528
792	9639	2516
793	9651	2504
794	9663	2491
795	9675	2479
796	9686	2467
797	9698	2454
798	9709	2442
799	9721	2430
800	9733	2418
801	9745	2405
802	9757	2393
803	9768	2381
804	9780	2369
805	9792	2356
806	9804	2344
807	9815	2332
808	9827	2320
809	9839	2308
810	9850	2295
811	9862	2283
812	9874	2271
813	9885	2258
814	9897	2246
815	9909	2234
816	9921	2222
817	9932	2209
818	9944	2197
819	9956	2185
820	9968	2173
821	9979	2161
822	9991	2148
823	10003	2136
824	10015	2124
825	10026	2112
826	10038	2099
827	10050	2087
828	10061	2075
829	10073	2063
830	10084	2050
831	10096	2038
832	10108	2026
833	10120	2014
834	10131	2002
835	10143	1989
836	10155	1977
837	10166	1965
838	10178	1953
839	10190	1941
840	10211	1930
841	10225	1918
842	10237	1906
843	10249	1894
844	10261	1882
845	10273	1870
846	10285	1857
847	10297	1845
848	10309	1833
849	10323	1821
850	10336	1809
851	10349	1797
852	10362	1785
853	10374	1773
854	10387	1761
855	10400	1749
856	10413	1737
857	10425	1725
858	10437	1713
859	10450	1701
860	10463	1689
861	10475	1677
862	10488	1664
863	10501	1652
864	10513	1640
865	10526	1628
866	10538	1616
867	10551	1604
868	10563	1592
869	10576	1580
870	10588	1568
871	10600	1556
872	10611	1543
873	10623	1531
874	10635	1519
875	10646	1507
876	10658	1494
877	10671	1482
878	10683	1470
879	10695	1458
880	10706	1446
881	10718	1434
882	10730	1421
883	10741	1409
884	10753	1397
885	10765	1385
886	10776	1372
887	10788	1360
888	10800	1348
889	10811	1336
890	10823	1324
891	10834	1311
892	10846	1299
893	10857	1287
894	10869	1275
895	10880	1262
896	10893	1250
897	10905	1238
898	10916	1226
899	10927	1214
900	10939	1202
901	10951	1189
902	10962	1177
903	10974	1165
904	10986	1153
905	10997	1141
906	11009	1128
907	11029	1117
908	11041	1105
909	11053	1093
910	11065	1080
911	11078	1068
912	11091	1056
913	11103	1044
914	11114	1032
915	11126	1020
916	11137	1008
917	11149	995
918	11160	983
919	11172	971
920	11184	959
921	11196	947
922	11207	934
923	11219	922
924	11231	910
925	11243	898
926	11254	886
927	11265	874
928	11277	861
929	11289	849
930	11301	837
931	11313	825
932	11325	813
933	11337	801
934	11348	788
935	11360	776
936	11371	764
937	11383	752
938	11395	740
939	11407	728
940	11419	716
941	11431	703
942	11443	691
943	11455	679
944	11467	667
945	11479	655
946	11490	643
947	11502	630
948	11513	618
949	11525	606
950	11537	594
951	11549	582
952	11560	570
953	11571	557
954	11583	545
955	11596	533
956	11608	521
957	11620	509
958	11633	497
959	11644	485
960	11656	473
961	11668	460
962	11679	448
963	11690	436
964	11703	424
965	11714	412
966	11726	400
967	11738	388
968	11749	375
969	11761	363
970	11773	351
971	11785	339
972	11796	327
973	11808	315
974	11819	303
975	11831	290
976	11842	278
977	11854	266
978	11865	254
979	11877	242
980	11889	230
981	11901	218
982	11912	206
983	11924	193
984	11937	181
985	11948	169
986	11960	157
987	11971	145
988	11984	133
989	11996	121
990	12008	109
991	12020	96
992	12033	84
993	12045	72
994	12057	60
995	12068	48
996	12081	36
997	12092	24
998	12104	12
999	12115	0
